locus_tag	ftype	length_bp	gene	EC_number	COG	product
FFHCJIBM_00387	CDS	264				hypothetical protein
FFHCJIBM_00388	CDS	588				hypothetical protein
FFHCJIBM_00389	CDS	231				hypothetical protein
FFHCJIBM_00390	CDS	219				hypothetical protein
FFHCJIBM_00391	CDS	543				hypothetical protein
FFHCJIBM_00392	CDS	219				hypothetical protein
FFHCJIBM_00393	CDS	426				hypothetical protein
FFHCJIBM_00394	CDS	894				hypothetical protein
FFHCJIBM_00395	CDS	1287	metY	2.5.1.-		O-acetyl-L-homoserine sulfhydrylase
FFHCJIBM_00396	CDS	936	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
FFHCJIBM_00397	CDS	624	upp	2.4.2.9		Uracil phosphoribosyltransferase
FFHCJIBM_00398	CDS	438	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
FFHCJIBM_00399	CDS	1053	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
FFHCJIBM_00400	CDS	858	prmC	2.1.1.297		Release factor glutamine methyltransferase
FFHCJIBM_00401	CDS	1089	prfA		COG0216	Peptide chain release factor 1
FFHCJIBM_00402	CDS	894				hypothetical protein
FFHCJIBM_00403	CDS	213	rpmE		COG0254	50S ribosomal protein L31
FFHCJIBM_00404	CDS	798				hypothetical protein
FFHCJIBM_00405	CDS	165				hypothetical protein
FFHCJIBM_00406	CDS	507	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
FFHCJIBM_00407	CDS	2151	nrdD_1	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
FFHCJIBM_00408	CDS	714				hypothetical protein
FFHCJIBM_00409	CDS	363	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
FFHCJIBM_00410	CDS	483				hypothetical protein
FFHCJIBM_00411	CDS	3045				hypothetical protein
FFHCJIBM_00412	CDS	1146	sbcD			Nuclease SbcCD subunit D
FFHCJIBM_00413	CDS	831	nfo	3.1.21.2	COG0648	putative endonuclease 4
FFHCJIBM_00414	CDS	411	perR		COG0735	Transcriptional regulator PerR
FFHCJIBM_00415	CDS	2151	yhgF		COG2183	Protein YhgF
FFHCJIBM_00416	CDS	1314				hypothetical protein
FFHCJIBM_00417	CDS	921	aes_2	3.1.1.-		Acetyl esterase
FFHCJIBM_00418	tRNA	92				tRNA-Ser(gga)
FFHCJIBM_00419	tRNA	77				tRNA-Pro(cgg)
FFHCJIBM_00420	CDS	417				hypothetical protein
FFHCJIBM_00421	CDS	1935	cadA_1	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
FFHCJIBM_00422	CDS	225				hypothetical protein
FFHCJIBM_00423	CDS	912	virF			Virulence regulon transcriptional activator VirF
FFHCJIBM_00424	CDS	795				hypothetical protein
FFHCJIBM_00425	CDS	606				hypothetical protein
FFHCJIBM_00426	tRNA	92				tRNA-Ser(gga)
FFHCJIBM_00427	tRNA	77				tRNA-Pro(cgg)
FFHCJIBM_00428	CDS	699				hypothetical protein
FFHCJIBM_00429	CDS	1116				IS200/IS605 family transposase IS1341
FFHCJIBM_00430	CDS	1284	larA_1	5.1.2.1	COG3875	Lactate racemase
FFHCJIBM_00431	CDS	1422		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
FFHCJIBM_00432	CDS	1548	glcA		COG1620	Glycolate permease GlcA
FFHCJIBM_00433	CDS	801	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
FFHCJIBM_00434	CDS	1254	tyrB	2.6.1.5	COG1448	Tyrosine aminotransferase
FFHCJIBM_00435	CDS	966				hypothetical protein
FFHCJIBM_00436	CDS	702	cmpD	3.6.3.-		Bicarbonate transport ATP-binding protein CmpD
FFHCJIBM_00437	CDS	759	ssuC		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
FFHCJIBM_00438	CDS	456				IS200/IS605 family transposase ISDha13
FFHCJIBM_00439	rRNA	109				5S ribosomal RNA
FFHCJIBM_00440	rRNA	2909				23S ribosomal RNA
FFHCJIBM_00441	rRNA	1562				16S ribosomal RNA
FFHCJIBM_00442	CDS	1134				hypothetical protein
FFHCJIBM_00443	CDS	1356	davT	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
FFHCJIBM_00444	CDS	1137		3.5.1.47		N-acetyldiaminopimelate deacetylase
FFHCJIBM_00445	CDS	930	ykfA_1	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
FFHCJIBM_00446	CDS	1593	oppA		COG4166	Oligopeptide-binding protein OppA
FFHCJIBM_00447	CDS	969	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
FFHCJIBM_00448	CDS	993	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
FFHCJIBM_00449	CDS	903	oppC		COG1173	Oligopeptide transport system permease protein OppC
FFHCJIBM_00450	CDS	933	oppB		COG0601	Oligopeptide transport system permease protein OppB
FFHCJIBM_00451	CDS	1215	sbnD			Staphyloferrin B transporter
FFHCJIBM_00452	CDS	1611				hypothetical protein
FFHCJIBM_00453	CDS	672				hypothetical protein
FFHCJIBM_00454	CDS	3435	purK	6.3.4.18		N5-carboxyaminoimidazole ribonucleotide synthase
FFHCJIBM_00455	CDS	714	tatC		COG0805	Sec-independent protein translocase protein TatC
FFHCJIBM_00456	CDS	504	albA	1.3.3.13		Albonoursin synthase
FFHCJIBM_00457	tRNA	84				tRNA-Leu(caa)
FFHCJIBM_00458	CDS	1386	alsT_3		COG1115	Amino-acid carrier protein AlsT
FFHCJIBM_00459	CDS	387	cdd	3.5.4.5	COG0295	Cytidine deaminase
FFHCJIBM_00460	CDS	759	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
FFHCJIBM_00461	CDS	1251				hypothetical protein
FFHCJIBM_00462	CDS	675				hypothetical protein
FFHCJIBM_00463	CDS	654	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
FFHCJIBM_00464	CDS	732	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
FFHCJIBM_00465	CDS	1458	guaB_3	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
FFHCJIBM_00466	CDS	2040	recG	3.6.4.12		ATP-dependent DNA helicase RecG
FFHCJIBM_00467	CDS	192	rpmB		COG0227	50S ribosomal protein L28
FFHCJIBM_00468	CDS	1080				hypothetical protein
FFHCJIBM_00469	CDS	996	ldh	1.1.1.27		L-lactate dehydrogenase
FFHCJIBM_00470	CDS	4845				hypothetical protein
FFHCJIBM_00471	CDS	822	yqfL	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
FFHCJIBM_00472	CDS	639	ccpN		COG0517	Transcriptional repressor CcpN
FFHCJIBM_00473	CDS	2409	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
FFHCJIBM_00474	CDS	2043	pbpF		COG0744	Penicillin-binding protein 1F
FFHCJIBM_00475	CDS	639	ctfB	2.8.3.9		Butyrate--acetoacetate CoA-transferase subunit B
FFHCJIBM_00476	CDS	738	atoD	2.8.3.8	COG1788	Acetate CoA-transferase subunit alpha
FFHCJIBM_00477	CDS	795	fabM	5.3.3.14	COG1024	Trans-2-decenoyl-[acyl-carrier-protein] isomerase
FFHCJIBM_00478	CDS	204				hypothetical protein
FFHCJIBM_00479	CDS	1164	codB		COG1457	Cytosine permease
FFHCJIBM_00480	CDS	1134	macA		COG0845	Macrolide export protein MacA
FFHCJIBM_00481	CDS	705	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
FFHCJIBM_00482	CDS	1218	macB	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
FFHCJIBM_00483	CDS	522				hypothetical protein
FFHCJIBM_00484	CDS	1242	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
FFHCJIBM_00485	CDS	1107	ychF		COG0012	Ribosome-binding ATPase YchF
FFHCJIBM_00486	CDS	246				hypothetical protein
FFHCJIBM_00487	CDS	1410		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
FFHCJIBM_00488	CDS	1923	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
FFHCJIBM_00489	CDS	1491				hypothetical protein
FFHCJIBM_00490	CDS	1449	hsdM	2.1.1.72	COG0286	Type I restriction enzyme EcoKI M protein
FFHCJIBM_00491	CDS	3210				hypothetical protein
FFHCJIBM_00492	CDS	1548	phnE		COG3639	Phosphate-import permease protein PhnE
FFHCJIBM_00493	CDS	750	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
FFHCJIBM_00494	CDS	1029				hypothetical protein
FFHCJIBM_00495	tRNA	76				tRNA-Ala(ggc)
FFHCJIBM_00496	CDS	456				hypothetical protein
FFHCJIBM_00497	CDS	543				hypothetical protein
FFHCJIBM_00498	CDS	798	hdpA	3.1.3.-		Dihydroxyacetone phosphatase
FFHCJIBM_00499	CDS	1161		1.3.8.1	COG1960	Acyl-CoA dehydrogenase, short-chain specific
FFHCJIBM_00500	tRNA	77				tRNA-Pro(ggg)
FFHCJIBM_00501	CDS	1350		2.1.3.1	COG5016	Methylmalonyl-CoA carboxyltransferase 5S subunit
FFHCJIBM_00502	CDS	1056				hypothetical protein
FFHCJIBM_00503	CDS	717	rnc	3.1.26.3	COG0571	Ribonuclease 3
FFHCJIBM_00504	CDS	1254	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
FFHCJIBM_00505	CDS	957				hypothetical protein
FFHCJIBM_00506	CDS	246	acpP		COG0236	Acyl carrier protein
FFHCJIBM_00507	CDS	744	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FFHCJIBM_00508	CDS	945	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
FFHCJIBM_00509	CDS	996	fabHA	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1
FFHCJIBM_00510	CDS	1026	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
FFHCJIBM_00511	CDS	543	fapR		COG2050	Transcription factor FapR
FFHCJIBM_00512	CDS	231				hypothetical protein
FFHCJIBM_00513	CDS	837				hypothetical protein
FFHCJIBM_00514	CDS	420				hypothetical protein
FFHCJIBM_00515	CDS	1260				hypothetical protein
FFHCJIBM_00516	CDS	1089	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
FFHCJIBM_00517	CDS	720	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
FFHCJIBM_00518	CDS	741	lptD_1			LPS-assembly protein LptD
FFHCJIBM_00519	CDS	555	lptC			Lipopolysaccharide export system protein LptC
FFHCJIBM_00520	CDS	939	lpxL_1	2.3.1.241		Lipid A biosynthesis lauroyltransferase
FFHCJIBM_00521	CDS	537		3.1.3.103	COG1778	2-keto-3-deoxy-D-glycero-D-galacto-9-phosphonononic acid phosphatase
FFHCJIBM_00522	CDS	975	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
FFHCJIBM_00523	CDS	846	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
FFHCJIBM_00524	CDS	750	kpsU	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
FFHCJIBM_00525	CDS	1143	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
FFHCJIBM_00526	CDS	1338	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
FFHCJIBM_00527	CDS	1767		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
FFHCJIBM_00528	CDS	1155	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
FFHCJIBM_00529	CDS	816	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
FFHCJIBM_00530	CDS	813	lpxA	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
FFHCJIBM_00531	CDS	447	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
FFHCJIBM_00532	CDS	834	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
FFHCJIBM_00533	CDS	1434	argH	4.3.2.1	COG0165	Argininosuccinate lyase
FFHCJIBM_00534	CDS	1245	argG	6.3.4.5	COG0137	Argininosuccinate synthase
FFHCJIBM_00535	CDS	789	mtgA	2.4.2.-		Monofunctional biosynthetic peptidoglycan transglycosylase
FFHCJIBM_00536	CDS	447				hypothetical protein
FFHCJIBM_00537	CDS	1401		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
FFHCJIBM_00538	CDS	1290	larA_2	5.1.2.1	COG3875	Lactate racemase
FFHCJIBM_00539	CDS	162				hypothetical protein
FFHCJIBM_00540	CDS	741				hypothetical protein
FFHCJIBM_00541	CDS	867	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
FFHCJIBM_00542	CDS	936				hypothetical protein
FFHCJIBM_00543	CDS	651	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU 
FFHCJIBM_00544	CDS	756	pstB3	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
FFHCJIBM_00545	CDS	879	pstA		COG0581	Phosphate transport system permease protein PstA
FFHCJIBM_00546	CDS	924				hypothetical protein
FFHCJIBM_00547	CDS	879	pstS1		COG0226	Phosphate-binding protein PstS 1
FFHCJIBM_00548	CDS	1701	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
FFHCJIBM_00549	CDS	684	regX3_1		COG0745	Sensory transduction protein regX3
FFHCJIBM_00550	CDS	1479	lptD_2			LPS-assembly protein LptD
FFHCJIBM_00551	CDS	1194				hypothetical protein
FFHCJIBM_00552	CDS	552	rbr3A	1.11.1.1	COG1592	Reverse rubrerythrin-1
FFHCJIBM_00553	CDS	924	oxyR			Hydrogen peroxide-inducible genes activator
FFHCJIBM_00554	CDS	900				hypothetical protein
FFHCJIBM_00555	CDS	1398	pqqE_1			Coenzyme PQQ synthesis protein E
FFHCJIBM_00556	CDS	699				hypothetical protein
FFHCJIBM_00557	CDS	1065	trpD_1	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
FFHCJIBM_00558	CDS	786	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
FFHCJIBM_00559	CDS	798	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
FFHCJIBM_00560	CDS	873	ecfA2_1	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
FFHCJIBM_00561	CDS	840	ecfA1	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA1
FFHCJIBM_00562	CDS	2106	feoB		COG0370	Fe(2+) transporter FeoB
FFHCJIBM_00563	CDS	231				hypothetical protein
FFHCJIBM_00564	CDS	558				hypothetical protein
FFHCJIBM_00565	CDS	462				hypothetical protein
FFHCJIBM_00566	CDS	828	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
FFHCJIBM_00567	CDS	468				hypothetical protein
FFHCJIBM_00568	CDS	1257				hypothetical protein
FFHCJIBM_00569	CDS	1512	lysS	6.1.1.6		Lysine--tRNA ligase
FFHCJIBM_00570	CDS	489	greA		COG0782	Transcription elongation factor GreA
FFHCJIBM_00571	CDS	987	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
FFHCJIBM_00572	CDS	765	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
FFHCJIBM_00573	CDS	969	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
FFHCJIBM_00574	CDS	2046	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
FFHCJIBM_00575	CDS	540	hpt	2.4.2.8		Hypoxanthine-guanine phosphoribosyltransferase
FFHCJIBM_00576	CDS	996	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
FFHCJIBM_00577	CDS	924	ppx2	3.6.1.11	COG0248	Exopolyphosphatase 2
FFHCJIBM_00578	CDS	450	yugI		COG1098	General stress protein 13
FFHCJIBM_00579	CDS	348	ftsL_1			Cell division protein FtsL
FFHCJIBM_00580	CDS	1404		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
FFHCJIBM_00581	CDS	1218	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
FFHCJIBM_00582	CDS	663				hypothetical protein
FFHCJIBM_00583	CDS	693	rsxB_2			Electron transport complex subunit RsxB
FFHCJIBM_00584	CDS	441	lrp		COG1522	Leucine-responsive regulatory protein
FFHCJIBM_00585	CDS	942	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
FFHCJIBM_00586	CDS	855	rnfB	7.2.1.2	COG2878	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit B
FFHCJIBM_00587	CDS	573	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
FFHCJIBM_00588	CDS	624	rnfE	7.2.1.2	COG4660	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit E
FFHCJIBM_00589	CDS	552	rnfG	7.2.1.2	COG4659	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit G
FFHCJIBM_00590	CDS	1035	rnfD	7.1.1.-	COG4658	Proton-translocating ferredoxin:NAD(+) oxidoreductase complex subunit D
FFHCJIBM_00591	CDS	1356	rnfC	7.1.1.-	COG4656	Proton-translocating ferredoxin:NAD(+) oxidoreductase complex subunit C
FFHCJIBM_00592	CDS	1611	pyrG	6.3.4.2		CTP synthase
FFHCJIBM_00593	CDS	1665	argS	6.1.1.19		Arginine--tRNA ligase
FFHCJIBM_00594	CDS	429	ywiB		COG4506	putative beta-barrel protein YwiB
FFHCJIBM_00595	CDS	156				hypothetical protein
FFHCJIBM_00596	CDS	1236	roo	1.-.-.-		Rubredoxin-oxygen oxidoreductase
FFHCJIBM_00597	CDS	1281				hypothetical protein
FFHCJIBM_00598	CDS	675				hypothetical protein
FFHCJIBM_00599	CDS	1818				hypothetical protein
FFHCJIBM_00600	CDS	447				Putative universal stress protein
FFHCJIBM_00601	CDS	1368				hypothetical protein
FFHCJIBM_00602	tRNA	76				tRNA-Lys(ttt)
FFHCJIBM_00603	tRNA	75				tRNA-Gln(ttg)
FFHCJIBM_00604	tRNA	76				tRNA-His(gtg)
FFHCJIBM_00605	CDS	849	speE	2.5.1.16	COG0421	Polyamine aminopropyltransferase
FFHCJIBM_00606	CDS	4296				hypothetical protein
FFHCJIBM_00607	CDS	897			COG0589	Universal stress protein
FFHCJIBM_00608	CDS	2286	xdhA	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
FFHCJIBM_00609	CDS	468	hcrC	1.3.7.9		4-hydroxybenzoyl-CoA reductase subunit gamma
FFHCJIBM_00610	CDS	783				hypothetical protein
FFHCJIBM_00611	CDS	981				hypothetical protein
FFHCJIBM_00612	CDS	1077				hypothetical protein
FFHCJIBM_00613	CDS	1869				hypothetical protein
FFHCJIBM_00614	CDS	1887				hypothetical protein
FFHCJIBM_00615	CDS	918				hypothetical protein
FFHCJIBM_00616	CDS	1314	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
FFHCJIBM_00617	CDS	1950				hypothetical protein
FFHCJIBM_00618	CDS	1287				hypothetical protein
FFHCJIBM_00619	CDS	1320				hypothetical protein
FFHCJIBM_00620	CDS	1818				hypothetical protein
FFHCJIBM_00621	CDS	777	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
FFHCJIBM_00622	tRNA	91				tRNA-Ser(gct)
FFHCJIBM_00623	CDS	300				hypothetical protein
FFHCJIBM_00624	CDS	834	thiM_1	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
FFHCJIBM_00625	rRNA	109				5S ribosomal RNA
FFHCJIBM_00626	rRNA	2909				23S ribosomal RNA
FFHCJIBM_00627	rRNA	1561				16S ribosomal RNA
FFHCJIBM_00628	CDS	783	glnH_1		COG0834	Glutamine-binding periplasmic protein
FFHCJIBM_00629	CDS	645	ppaX	3.6.1.1	COG0546	Pyrophosphatase PpaX
FFHCJIBM_00630	CDS	789	glnH_2		COG0834	Glutamine-binding periplasmic protein
FFHCJIBM_00631	CDS	1308				hypothetical protein
FFHCJIBM_00632	CDS	936	whiA		COG1481	putative cell division protein WhiA
FFHCJIBM_00633	CDS	1347				Gluconeogenesis factor
FFHCJIBM_00634	CDS	906	yvcJ		COG1660	Nucleotide-binding protein YvcJ
FFHCJIBM_00635	CDS	801	yidA_1	3.1.3.23	COG0561	Sugar phosphatase YidA
FFHCJIBM_00636	CDS	402				hypothetical protein
FFHCJIBM_00637	CDS	603	gpsB			Cell cycle protein GpsB
FFHCJIBM_00638	CDS	786				hypothetical protein
FFHCJIBM_00639	CDS	513	sepF			Cell division protein SepF
FFHCJIBM_00640	CDS	684			COG0325	Pyridoxal phosphate homeostasis protein
FFHCJIBM_00641	CDS	807		1.10.3.-	COG1496	Polyphenol oxidase
FFHCJIBM_00642	CDS	1752				hypothetical protein
FFHCJIBM_00643	CDS	381	crcB		COG0239	Putative fluoride ion transporter CrcB
FFHCJIBM_00644	CDS	1443	sglT			Sodium/glucose cotransporter
FFHCJIBM_00645	CDS	1110	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
FFHCJIBM_00646	CDS	438				hypothetical protein
FFHCJIBM_00647	CDS	996	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
FFHCJIBM_00648	CDS	1443	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
FFHCJIBM_00649	CDS	768	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
FFHCJIBM_00650	CDS	651	yecS		COG0765	L-cystine transport system permease protein YecS
FFHCJIBM_00651	CDS	804	fliY_1		COG0834	L-cystine-binding protein FliY
FFHCJIBM_00652	CDS	798	fliY_2		COG0834	L-cystine-binding protein FliY
FFHCJIBM_00653	CDS	507				hypothetical protein
FFHCJIBM_00654	CDS	336				hypothetical protein
FFHCJIBM_00655	CDS	903				hypothetical protein
FFHCJIBM_00656	CDS	945				hypothetical protein
FFHCJIBM_00657	CDS	807	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
FFHCJIBM_00658	CDS	978	hprA	1.1.1.29	COG1052	Glycerate dehydrogenase
FFHCJIBM_00659	tRNA	89				tRNA-Ser(tga)
FFHCJIBM_00660	CDS	1080		1.8.-.-	COG0502	[FeFe] hydrogenase maturase subunit HydE
FFHCJIBM_00661	CDS	1266	uraA		COG2233	Uracil permease
FFHCJIBM_00662	CDS	1293	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
FFHCJIBM_00663	CDS	705	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
FFHCJIBM_00664	CDS	1095		5.1.1.20	COG4948	L-Ala-D/L-Glu epimerase
FFHCJIBM_00665	CDS	1119				hypothetical protein
FFHCJIBM_00666	CDS	699	hisI	3.6.1.31		Histidine biosynthesis bifunctional protein HisIE
FFHCJIBM_00667	CDS	765	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
FFHCJIBM_00668	CDS	717	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
FFHCJIBM_00669	CDS	621	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
FFHCJIBM_00670	CDS	585	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
FFHCJIBM_00671	CDS	1077	hisC_1	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
FFHCJIBM_00672	CDS	1290	hisD	1.1.1.23		Histidinol dehydrogenase
FFHCJIBM_00673	CDS	636	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
FFHCJIBM_00674	CDS	1218	hisZ			ATP phosphoribosyltransferase regulatory subunit
FFHCJIBM_00675	CDS	216				hypothetical protein
FFHCJIBM_00676	CDS	309				hypothetical protein
FFHCJIBM_00677	CDS	699				hypothetical protein
FFHCJIBM_00678	CDS	477				hypothetical protein
FFHCJIBM_00679	CDS	540	rbr		COG1592	Rubrerythrin
FFHCJIBM_00680	CDS	708	srrA_1		COG0745	Transcriptional regulatory protein SrrA
FFHCJIBM_00681	CDS	843	dacB	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacB
FFHCJIBM_00682	CDS	801				hypothetical protein
FFHCJIBM_00683	CDS	747	ymdB	3.5.1.-		O-acetyl-ADP-ribose deacetylase
FFHCJIBM_00684	CDS	918	ubiG	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase
FFHCJIBM_00685	tRNA	86				tRNA-Leu(gag)
FFHCJIBM_00686	tRNA	77				tRNA-Asp(gtc)
FFHCJIBM_00687	tRNA	86				tRNA-Leu(gag)
FFHCJIBM_00688	tRNA	76				tRNA-Phe(gaa)
FFHCJIBM_00689	tRNA	77				tRNA-Asp(gtc)
FFHCJIBM_00690	CDS	1821	cptA	2.7.-.-	COG2194	Phosphoethanolamine transferase CptA
FFHCJIBM_00691	CDS	1362				hypothetical protein
FFHCJIBM_00692	CDS	852				hypothetical protein
FFHCJIBM_00693	CDS	1308	larA_3	5.1.2.1	COG3875	Lactate racemase
FFHCJIBM_00694	CDS	327			COG0662	Oxalate-binding protein
FFHCJIBM_00695	CDS	1305	gltP		COG1301	Proton/glutamate-aspartate symporter
FFHCJIBM_00696	CDS	777	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
FFHCJIBM_00697	CDS	1185	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
FFHCJIBM_00698	CDS	603	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
FFHCJIBM_00699	CDS	789	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
FFHCJIBM_00700	CDS	1023	trpD_2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
FFHCJIBM_00701	CDS	567	pabA_1	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
FFHCJIBM_00702	CDS	1470	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
FFHCJIBM_00703	CDS	1296	dlsT_1		COG0814	putative serine transporter
FFHCJIBM_00704	CDS	930	gltC_1			HTH-type transcriptional regulator GltC
FFHCJIBM_00705	CDS	3513		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
FFHCJIBM_00706	CDS	432				hypothetical protein
FFHCJIBM_00707	CDS	552	bsaA			Glutathione peroxidase BsaA
FFHCJIBM_00708	CDS	453	dfx_1	1.15.1.2	COG2033	Desulfoferrodoxin
FFHCJIBM_00709	CDS	1155				hypothetical protein
FFHCJIBM_00710	CDS	987	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
FFHCJIBM_00711	CDS	570	pth	3.1.1.29		Peptidyl-tRNA hydrolase
FFHCJIBM_00712	CDS	966	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
FFHCJIBM_00713	CDS	1374	glmU			Bifunctional protein GlmU
FFHCJIBM_00714	CDS	591				hypothetical protein
FFHCJIBM_00715	CDS	1575	clcA		COG0038	H(+)/Cl(-) exchange transporter ClcA
FFHCJIBM_00716	CDS	1194	yxeP_1	3.-.-.-	COG1473	putative hydrolase YxeP
FFHCJIBM_00717	CDS	975				hypothetical protein
FFHCJIBM_00718	CDS	1410	nrgA			Ammonium transporter
FFHCJIBM_00719	CDS	366	nrgB		COG0347	Nitrogen regulatory PII-like protein
